BBLCOUNT        1.0         0
0x5555555657f4 1 2 4
0x5555555657e4 1 5 16
0x5555555657d0 2 4 20
0x5555555657cc 2 2 4
0x5555555657a7 1 10 37
0x555555565932 1 3 13
0x555555559e7c 1 2 13
0x555555559e89 1 4 25
0x555555559ea2 1 2 13
0x555555559eaf 1 2 13
0x555555559ebc 1 2 12
0x555555559aaa 1 4 26
0x555555559ac4 1 2 13
0x555555559ad1 1 5 31
0x555555559af0 1 4 26
0x555555565916 1 7 28
0x55555555af70 2 3 11
0x55555555af7b 0 6 25
0x55555555af9d 2 15 127
0x555555559b0a 1 2 9
0x555555559b13 0 7 29
0x555555565724 3 1 2
0x555555565700 4 13 36
0x555555565940 1 4 16
0x55555555b238 1 14 64
0x55555555b280 1 3 16
0x55555555b1ff 0 4 19
0x55555555b1f6 0 2 9
0x55555555b1e4 1 4 18
0x55555555ea9c 4 1 3
0x555555559ba9 0 2 5
0x555555559bae 0 5 27
0x55555555ea9c 88 1 3
0x55555555b1d8 1 2 12
0x55555555b1cb 1 2 13
0x55555555b1b8 3 5 19
0x55555555b1cb 0 2 13
0x55555555b1a3 1 9 40
0x55555555b19e 1 2 5
0x55555555b2cb 1 5 30
0x555555558fd7 1 2 5
0x555555558fdc 1 3 14
0x555555559b50 1 3 13
0x555555559d46 1 2 12
0x555555559b8e 1 6 27
0x555555565890 1 4 15
0x55555556588c 1 2 4
0x55555555b340 4 4 12
0x555555565866 1 10 38
0x555555565850 1 6 22
0x555555565820 1 12 48
0x5555555657a1 0 12 43
0x555555565797 1 2 10
0x55555556574b 1 10 22
0x555555565747 1 2 4
0x555555558fb5 0 2 9
0x555555558fbe 0 6 25
0x555555558fbe 1 6 25
0x55555555ea33 0 2 9
0x55555555ea65 4 13 58
0x55555555b322 5 7 24
0x55555555b310 5 6 18
0x55555555b340 1 4 12
0x555555565738 1 5 15
0x555555565768 1 12 47
0x555555565726 2 8 15
0x55555555de70 6 4 16
0x55555555de89 0 3 11
0x55555555de80 0 3 9
0x55555555de50 3 10 48
0x55555555de94 0 4 20
0x55555555de89 0 3 11
0x55555555de80 1 3 9
0x55555555de38 1 15 72
0x55555555de25 1 4 19
0x55555555de10 7 6 21
0x55555555de25 0 4 19
0x55555555ddf5 1 10 48
0x55555555dde6 1 4 15
0x55555555dde1 1 1 5
0x55555555ddd8 1 2 9
0x55555555ddbf 1 7 25
0x55555555ddae 1 5 17
0x55555555dd85 1 11 41
0x55555555dfc5 1 2 12
0x555555569944 1 2 2
0x555555569944 0 2 2
0x55555556993f 0 2 5
0x55555555fbcd 6 1 5
0x55555555c2d9 8 1 5
0x55555555c2c7 8 4 18
0x55555555c2bd 8 2 10
0x55555555c2b8 8 1 5
0x55555555c2a8 12 4 16
0x55555555c2a0 12 2 8
0x55555555c244 0 6 28
0x55555555c23c 12 3 8
0x55555555c226 12 5 22
0x55555555c1e0 12 20 70
0x55555555dab0 8 20 90
