BBLCOUNT        1.0         0
0x55555555c1e0 30 20 70
0x55555555dab0 20 20 90
0x55555555df2e 10 4 12
0x55555555debb 10 5 22
0x55555555dea8 10 4 19
0x55555555dc17 20 5 13
0x55555555dc00 20 3 23
0x55555555dbe0 0 4 21
0x55555555dbd2 20 4 14
0x55555555db3b 20 4 10
0x55555555db1e 20 5 29
0x55555555db19 0 1 5
0x55555555db14 20 2 5
0x55555555db0a 20 3 10
0x55555555c42d 20 9 18
0x55555555c404 20 8 41
0x55555555c3e7 30 7 29
0x55555555c31a 0 3 13
0x55555555c30d 20 2 13
0x55555555de80 1 3 9
0x55555555de38 1 15 72
0x55555555de25 1 4 19
0x55555555de10 19 6 21
0x55555555de25 0 4 19
0x55555555ddf5 1 10 48
0x55555555dde6 1 4 15
0x55555555fa87 0 2 9
0x55555555fa90 0 4 21
0x55555555fbd8 1 2 13
0x55555555fbe5 0 1 5
0x55555555fb39 1 5 30
0x555555567eb1 0 4 16
0x55555555fb57 13 3 12
0x55555555dde1 1 1 5
0x55555555ddd8 1 2 9
0x55555555ddbf 1 7 25
0x55555555dbbc 20 4 22
0x55555555dbaf 20 2 13
0x55555555dc44 0 3 18
0x55555555dc37 0 2 13
0x55555555dc28 20 3 15
0x55555555db89 0 4 24
0x55555555db7c 0 2 13
0x55555555db50 20 9 44
0x55555555de94 1 4 20
0x55555555de89 1 3 11
0x55555555de80 9 3 9
0x55555555de70 45 4 16
0x55555555de89 0 3 11
0x55555555de80 0 3 9
0x55555555de50 9 10 48
0x55555555de94 0 4 20
0x55555555de89 0 3 11
0x55555555c725 0 3 17
0x55555555c71c 10 2 9
0x55555555c6dd 0 2 10
0x55555555c6d8 10 2 5
0x55555555c6d8 0 2 5
0x55555555c6cf 0 2 9
0x55555555c6c5 10 3 10
0x55555555c42d 10 9 18
0x55555555c40c 10 6 33
0x55555555c33d 0 3 13
0x55555555c330 10 2 13
0x55555555c650 10 29 117
0x55555555ca92 10 10 45
0x55555555cb2f 0 4 22
0x55555555cb1b 0 3 20
0x55555555cb10 10 3 11
0x55555555ca92 0 10 45
0x555555559d3b 1 2 11
0x555555559d46 1 2 12
0x555555559b8e 1 6 27
0x555555559ba9 0 2 5
0x555555559bae 0 5 27
0x555555559b50 1 3 13
0x55555555f8c0 1 15 55
0x55555555f8f7 1 4 17
0x555555567ecf 0 2 11
0x55555555f908 1 2 9
0x55555555f911 1 3 17
0x55555555f922 0 2 8
0x55555555fa75 1 1 5
0x555555567ec1 0 2 14
0x55555555c972 10 6 28
0x55555555c960 10 5 18
0x55555555c736 0 7 30
0x55555555e3b3 1 13 61
0x55555555df8b 1 7 14
0x55555555df86 1 2 5
0x55555555df3a 38 2 5
0x55555555df2e 38 4 12
0x55555555df25 38 3 9
0x55555555de98 9 3 16
0x55555555df63 1 4 18
0x55555555df5d 1 2 6
0x55555555df50 10 3 13
0x55555555df3f 0 5 13
0x55555555df3a 52 2 5
0x55555555df2e 52 4 12
0x55555555df0a 62 11 36
0x55555555ded8 100 16 50
0x55555555df3f 0 5 13
0x55555555df3a 10 2 5
0x55555555ca8a 0 3 8
0x55555555ca60 10 14 42
0x55555555cf97 10 5 15
0x55555555cf7e 0 5 25
0x55555555cf6c 0 4 18
0x55555555cf63 10 2 9
0x55555555cf3f 0 3 11
0x55555555cf2b 0 3 20
0x55555555cf22 10 2 9
0x55555555cef1 0 3 13
0x55555555cee1 0 3 16
0x55555555ced8 10 2 9
0x55555555c179 10 1 1
0x55555555c170 10 2 9
0x55555555ceb0 10 9 40
0x55555555e427 10 7 28
0x55555555e412 1 4 21
0x55555555e3f0 1 4 13
0x555555565747 3 2 4
0x555555568980 10 17 54
0x5555555689b6 10 14 47
0x555555567470 10 24 109
0x555555567e98 10 5 15
0x5555555674dd 10 6 28
0x5555555677b1 38 7 30
0x55555555b322 21 7 24
0x55555555b310 21 6 18
0x55555555b340 3 4 12
0x555555565738 3 5 15
0x555555565768 4 12 47
0x555555565726 2 8 15
0x555555565724 5 1 2
0x555555565700 9 13 36
0x555555565940 1 4 16
0x55555555b238 1 14 64
0x555555565850 1 6 22
0x555555565820 2 12 48
0x5555555657a1 0 12 43
0x555555565797 1 2 10
0x5555555658d0 2 15 52
0x5555555657e4 0 5 16
0x5555555657d0 2 4 20
0x555555565811 2 3 11
0x5555555657f8 2 5 25
0x5555555657f4 4 2 4
0x5555555657e4 4 5 16
0x5555555657d0 4 4 20
0x5555555657cc 9 2 4
0x55555555b340 18 4 12
0x5555555657a1 2 12 43
0x555555565797 3 2 10
0x55555556574b 2 10 22
0x555555567cf0 58 3 14
0x555555567cfe 58 5 21
0x555555567880 58 3 12
0x5555555677d8 58 4 16
0x5555555677e8 58 3 13
0x5555555677f5 0 3 12
0x555555567720 58 3 10
0x55555556772a 58 8 20
0x55555556773e 58 2 9
0x555555567801 58 4 15
0x555555567d60 58 2 8
0x555555567d68 0 2 5
0x555555567d6d 0 4 15
0x5555555677a8 58 2 5
0x5555555677ad 20 8 34
0x5555555675f8 58 4 13
0x555555567605 58 5 22
0x55555555b280 1 3 16
0x55555555b1ff 0 4 19
0x55555555b1f6 0 2 9
0x55555555b1e4 1 4 18
0x5555555674f9 10 6 25
0x55555556761b 48 7 29
0x55555555b1d8 1 2 12
0x55555555b1cb 1 2 13
0x55555555b1b8 9 5 19
